user_age_range,user_gender,user_perception_tests,user_eye_quality,user_room_quality,user_computer_type,user_test_origin,screen_size,browser_agent,user_ID,valid
30 to 39,Male,Yes,Good,Alone in a Quiet Room,Laptop,steve s run,1920x968,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",1,True
18 to 24,Male,Yes,Excellent,Some Noise and Distractions,Laptop,friend,1280x585,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",7,True
40 to 49,Male,Yes,Good,Alone in a Quiet Room,Desktop,Clickworker Job,2048x1024,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",10,True
60 to 69,Male,Yes,Excellent,Alone in a Quiet Room,Desktop,Clickworker,1707x804,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",11,True
30 to 39,Female,No,Excellent,Alone in a Quiet Room,Laptop,clickworker,1707x898,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",12,True
30 to 39,Male,Yes,Excellent,Alone in a Quiet Room,Laptop,Clickworker,1920x945,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",13,True
40 to 49,Female,Yes,Good,Some Noise and Distractions,Desktop,clickworker,1164x949,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0,14,True
60 to 69,Male,No,Good,Alone in a Quiet Room,Desktop,Clickworker,1569x980,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",15,True
30 to 39,Female,No,Good,Alone in a Quiet Room,Laptop,Clickworker,1536x730,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",16,True
50 to 59,Female,Yes,Excellent,Alone in a Quiet Room,Laptop,clickworker,1920x911,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36",18,True
40 to 49,Male,No,Excellent,Alone in a Quiet Room,Desktop,clickworker,1366x635,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",19,True
